"Category","Annual Mean","Smoothed"
"1901",19.32,19.33
"1902",19.31,19.26
"1903",19.13,19.2
"1904",19.03,19.15
"1905",19.26,19.1
"1906",19.16,19.07
"1907",19.12,19.06
"1908",19.12,19.06
"1909",19,19.08
"1910",18.67,19.11
"1911",19.08,19.15
"1912",19.4,19.2
"1913",19.46,19.25
"1914",19.42,19.3
"1915",19.59,19.33
"1916",18.89,19.35
"1917",19.16,19.34
"1918",19.51,19.31
"1919",19.52,19.27
"1920",19.08,19.24
"1921",18.79,19.24
"1922",19.53,19.29
"1923",19.55,19.38
"1924",19.54,19.5
"1925",19.57,19.63
"1926",19.85,19.74
"1927",19.78,19.81
"1928",19.81,19.83
"1929",19.75,19.8
"1930",19.63,19.75
"1931",19.69,19.68
"1932",19.62,19.61
"1933",19.53,19.55
"1934",19.53,19.51
"1935",19.58,19.51
"1936",19.66,19.55
"1937",19.84,19.64
"1938",19.7,19.8
"1939",19.89,20
"1940",20.08,20.21
"1941",20.32,20.38
"1942",20.07,20.48
"1943",20.79,20.48
"1944",20.62,20.37
"1945",20.38,20.19
"1946",19.93,19.96
"1947",19.63,19.71
"1948",19.5,19.47
"1949",19.11,19.27
"1950",18.69,19.1
"1951",19.19,18.97
"1952",18.99,18.9
"1953",19.38,18.88
"1954",18.79,18.93
"1955",18.84,19.01
"1956",18.65,19.12
"1957",19.47,19.23
"1958",19.47,19.33
"1959",19.38,19.4
"1960",19.34,19.45
"1961",19.63,19.49
"1962",19.57,19.52
"1963",19.72,19.55
"1964",19.38,19.58
"1965",19.8,19.61
"1966",19.57,19.63
"1967",19.2,19.64
"1968",19.28,19.61
"1969",20.11,19.55
"1970",19.49,19.47
"1971",19.14,19.37
"1972",20.05,19.28
"1973",19.32,19.21
"1974",18.73,19.18
"1975",18.78,19.19
"1976",19.24,19.22
"1977",19.38,19.29
"1978",19.33,19.37
"1979",19.61,19.46
"1980",19.7,19.55
"1981",19.34,19.64
"1982",19.74,19.7
"1983",20.42,19.73
"1984",19.42,19.73
"1985",19.21,19.68
"1986",19.36,19.61
"1987",20.12,19.53
"1988",19.5,19.48
"1989",19.21,19.47
"1990",19.51,19.52
"1991",19.61,19.61
"1992",20,19.71
"1993",19.77,19.8
"1994",19.77,19.87
"1995",19.83,19.88
"1996",19.23,19.86
"1997",20.27,19.81
"1998",20.49,19.75
"1999",19.34,19.7
"2000",19.53,19.67
"2001",19.36,19.67
"2002",19.79,19.67
"2003",19.7,19.68
"2004",19.83,19.68
"2005",19.67,19.67
"2006",19.77,19.63
"2007",19.23,19.6
"2008",19.51,19.57
"2009",19.86,19.57
"2010",19.82,19.6
"2011",19.56,19.66
"2012",19.77,19.75
"2013",19.38,19.84
"2014",19.78,19.93
"2015",20.36,19.99
"2016",20.3,20.02
"2017",20.06,20.02
"2018",19.65,20
"2019",19.97,19.97
"2020",20.01,19.93
