"If you use this data, refer to Doeswijk, R.Q., Lam, T., and Swinkels, L. (2019) ""Historical returns on the market portfolio"", Review of Asset Pricing Studies https://doi.org/10.1093/rapstu/raz010",,,,,,,,,,
,,,,,,,,,,
"End-of-year market capitalization, composition, and returns of the global market portfolio (% US$, 1959-2017)",,,,,,,,,,
Year,Market value (USD tn),Composition Equities Broad, Real Estate, Nongovern- ment Bonds, Government Bonds Broad, Commodi- ties,  ,Returns Nominal return, Real return, Excess return
1959,0.7,50.9,1.3,17.3,29,1.5,,,,
1960,0.7,49.2,1.3,17.4,30.7,1.3,,5.3,3.8,2.2
1961,0.8,53.5,1.2,15.3,28.8,1.2,,14,13.2,11.3
1962,0.8,50.2,1.4,16.6,30.5,1.3,,-0.9,-2.1,-3.6
1963,0.8,53.5,1.4,16,27.9,1.2,,10.7,8.9,7.2
1964,0.9,56,1.4,15.1,26.3,1.2,,7.9,6.6,4.1
1965,0.9,58.2,1.4,14.2,25,1.2,,7.9,5.9,3.7
1966,0.9,56.5,1.7,14.6,25.9,1.4,,-3,-6.2,-7.7
1967,1,61.1,1.6,12.9,23,1.4,,15.1,11.4,10.2
1968,1.1,63.4,1.6,12.3,21.1,1.6,,13.6,8.5,7.6
1969,1.1,62.9,1.9,12.4,21.2,1.5,,-4.4,-9.7,-10.6
1970,1.1,60.5,2.1,13.2,22.8,1.5,,2.1,-3.3,-4.3
1971,1.3,59.6,1.9,14.2,22.9,1.4,,19.2,15.5,14.1
1972,1.6,62.2,1.8,13.5,20.8,1.7,,18.1,14.2,13.4
1973,1.6,58.1,2.1,14.5,22.4,3,,-8.6,-16.1,-14.9
1974,1.4,46.4,2.9,17,28,5.8,,-13.1,-22.4,-19.7
1975,1.6,48.8,2.5,17.2,27.5,3.9,,21.7,13.6,14.7
1976,1.9,48.4,2.1,17.2,29,3.3,,14,8.5,8.3
1977,2.2,43.1,2.2,18.2,32.9,3.6,,10.8,3.9,5.1
1978,2.6,40.9,2.2,17.8,34.9,4.3,,17.6,7.9,9.4
1979,3.1,41.4,2.1,14.8,32.1,9.7,,16.3,2.7,5
1980,3.7,44.7,2,13.5,31.4,8.4,,14.5,1.9,2
1981,3.6,44.2,2.3,13.9,33.7,5.8,,-5.3,-13.1,-17.9
1982,4,42.9,2.2,14,34.8,6.1,,13.1,9,1.6
1983,4.6,46.4,2,12.7,34.2,4.7,,12.4,8.3,3
1984,4.6,46.6,2.1,12.6,34.9,3.8,,4.4,0.3,-5.3
1985,6.2,48,2.7,12.3,33.9,3.1,,34.5,29.6,24.7
1986,8.2,51.4,3.3,11.3,31.2,2.8,,34.6,33.1,26.7
1987,9,53.4,3.9,10.5,28.9,3.3,,17.2,12.3,10.5
1988,10.6,57,5,9.5,26.1,2.4,,15.3,10.5,7.8
1989,11.9,59.1,4.8,9.1,24.9,2.2,,12.1,7.1,3.3
1990,11.2,51.3,4,11.4,31.1,2.3,,-6.9,-12.4,-13.7
1991,13.4,51.6,3.6,11.8,31.2,1.7,,17.5,14.1,11.2
1992,13.7,49.5,3.5,12.4,33,1.6,,-0.1,-3,-3.5
1993,16.7,52,4.3,8.7,33.3,1.6,,20.5,17.2,16.9
1994,17.7,54.7,4.4,7.5,31.9,1.5,,3.2,0.6,-1.1
1995,20.8,55.7,4,7.6,31.4,1.3,,18.1,15.2,11.7
1996,23.4,56.4,5.2,7.3,30,1.1,,9.8,6.2,4.4
1997,25.8,59.1,4.8,8.2,27.1,0.8,,6.8,5,1.4
1998,32.9,56.6,3.8,14.3,24.6,0.7,,15.2,13.3,9.7
1999,39.5,62.9,3.2,11.9,21.3,0.6,,15.5,12.5,10.2
2000,38.8,59.9,3.3,15.4,20.9,0.5,,-7.4,-10.5,-12.7
2001,36.2,54.3,3.7,18.6,22.8,0.6,,-8.4,-9.8,-11.5
2002,35.9,44.5,3.9,22.5,28.3,0.8,,-2.6,-5,-4.2
2003,46.3,47.9,4.3,20.5,26.5,0.8,,25.1,22.6,23.9
2004,53.9,48.7,4.7,18.9,27,0.7,,14.2,10.5,12.6
2005,57.2,51.7,4.9,17.5,25,0.9,,5,1.6,1.7
2006,67.1,52.8,5.9,16.8,23.5,1,,16.4,13.5,11
2007,73.6,52.1,5.4,17.6,23.7,1.2,,9.6,5.3,4.8
2008,57.8,39.4,3.4,22.2,33.5,1.5,,-24.3,-24.2,-25.3
2009,74.3,41.1,3.9,21.8,31.5,1.7,,22.2,18.9,22
2010,83.9,41.5,4.2,20.1,32.2,2,,11,9.5,10.9
2011,84,38.2,4.4,20.7,34.5,2.3,,-0.7,-3.7,-0.8
2012,93.6,38.7,4.9,20.5,33.6,2.3,,11.5,9.6,11.4
2013,101.7,43.4,5.2,19.5,30.3,1.6,,8.4,6.8,8.4
2014,105.6,42.9,5.8,19.4,30.4,1.5,,2.6,1.9,2.5
2015,103.6,42.7,5.9,19.7,30.3,1.4,,-2.8,-3.4,-2.8
2016,109.3,42.8,5.7,19.7,30.3,1.5,,6,3.9,5.6
2017,126.5,44.7,5.7,19.1,29.1,1.5,,15.6,13.2,14.5
