year,annual_mean,Smoothed
1901,17.3,17.29
1902,17.34,17.17
1903,16.93,17.07
1904,16.82,16.98
1905,16.63,16.9
1906,17.42,16.86
1907,16.62,16.85
1908,17.07,16.86
1909,16.87,16.9
1910,17.02,16.96
1911,16.42,17.03
1912,17.09,17.1
1913,17.86,17.17
1914,17.29,17.23
1915,17.05,17.26
1916,17.17,17.26
1917,17.03,17.22
1918,16.96,17.15
1919,17.36,17.06
1920,17.3,16.97
1921,16.83,16.91
1922,16.87,16.89
1923,16.82,16.92
1924,16.42,16.99
1925,17.22,17.09
1926,17.81,17.2
1927,17.52,17.31
1928,16.89,17.4
1929,17.57,17.47
1930,17.52,17.52
1931,16.96,17.53
1932,18.06,17.51
1933,17.55,17.45
1934,17.14,17.37
1935,17.37,17.29
1936,17.38,17.22
1937,17.09,17.19
1938,17.22,17.21
1939,17.45,17.27
1940,17.4,17.35
1941,16.94,17.44
1942,17.12,17.52
1943,17.9,17.57
1944,18.04,17.58
1945,17.98,17.58
1946,17.25,17.56
1947,17.33,17.54
1948,17.29,17.53
1949,17.42,17.53
1950,17.43,17.55
1951,17.87,17.56
1952,18.03,17.58
1953,17.91,17.58
1954,17.55,17.58
1955,17.02,17.56
1956,16.77,17.54
1957,17.6,17.52
1958,17.8,17.49
1959,17.4,17.46
1960,17.84,17.43
1961,17.88,17.41
1962,17.19,17.4
1963,17.62,17.39
1964,16.63,17.41
1965,17.75,17.43
1966,16.96,17.46
1967,17.65,17.48
1968,17.53,17.48
1969,17.67,17.47
1970,17.53,17.45
1971,17.28,17.42
1972,17.6,17.4
1973,17.35,17.41
1974,17.37,17.44
1975,17.64,17.51
1976,17.12,17.59
1977,18.08,17.67
1978,17.5,17.75
1979,17.56,17.8
1980,18.28,17.82
1981,17.87,17.82
1982,18.03,17.8
1983,17.46,17.78
1984,17.26,17.75
1985,17.97,17.72
1986,18.11,17.7
1987,17.86,17.68
1988,16.95,17.68
1989,18.03,17.68
1990,17.65,17.7
1991,17.96,17.73
1992,17.53,17.76
1993,17.65,17.78
1994,18.13,17.8
1995,17.54,17.8
1996,17.78,17.8
1997,18.28,17.79
1998,17.46,17.79
1999,17.53,17.79
2000,17.66,17.81
2001,18.43,17.85
2002,18.01,17.88
2003,17.48,17.92
2004,17.99,17.95
2005,17.97,17.95
2006,18.25,17.95
2007,17.34,17.93
2008,18.32,17.92
2009,17.97,17.92
2010,17.94,17.94
2011,17.73,17.99
2012,18.42,18.04
2013,17.74,18.1
2014,18.32,18.16
2015,18.33,18.19
2016,17.61,18.2
2017,18.71,18.19
2018,18.2,18.16
2019,18.05,18.13
2020,18.03,18.08
