Contiguous U.S., Average Temperature, January-December
Units: Degrees Celcius,,
"Source: NOAA, https://www.ncdc.noaa.gov/cag/national/time-series/110/tavg/ann/3/1950-2020?base_prd=true&begbaseyear=1901&endbaseyear=2000",,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,
1950,10.77,
1951,10.62,
1952,11.26,
1953,11.87,
1954,11.85,
1955,10.94,
1956,11.30,
1957,11.13,
1958,11.07,
1959,11.17,
1960,10.80,
1961,11.04,
1962,11.06,
1963,11.26,
1964,10.93,
1965,10.94,
1966,10.83,
1967,10.98,
1968,10.73,
1969,10.83,
1970,10.89,
1971,10.92,
1972,10.76,
1973,11.27,
1974,11.26,
1975,10.83,
1976,10.82,
1977,11.42,
1978,10.58,
1979,10.49,
1980,11.33,
1981,11.73,
1982,10.74,
1983,11.04,
1984,11.09,
1985,10.72,
1986,11.84,
1987,11.85,
1988,11.46,
1989,11.02,
1990,11.95,
1991,11.76,
1992,11.44,
1993,10.70,
1994,11.59,
1995,11.47,
1996,11.04,
1997,11.22,
1998,12.35,
1999,12.16,
2000,11.82,
2001,12.05,
2002,11.78,
2003,11.81,
2004,11.72,
2005,12.02,
2006,12.36,
2007,12.03,
2008,11.27,
2009,11.33,
2010,11.66,
2011,11.77,
2012,12.93,
2013,11.35,
2014,11.41,
2015,12.44,
2016,12.73,
2017,12.53,
2018,11.96,
2019,11.49,
2020,12.43,
